Food_Code,Display_Name,Grains,Vegetables,Fruits,Milk,Meats,Solid_Fats,Added_Sugars,Calories,Saturated_Fats
27214110,Meatloaf or meatballs & tomato sauce,0.34474,0.15763,0,0.05557,2.08429,51.06062,1.41927,198.45,3.84426
27243300,Chicken and rice with cream sauce,0.59892,0.12276,0,0.15004,0.90272,46.28052,0,177.32,1.8724
27243500,Chicken and rice with tomato sauce,0.45994,0.25,0,0,1.10898,0,0,113.46,0.3172
27246100,Chicken and dumplings,0.83326,0,0,0,1.99958,34.8615,0,184.22,2.5254
27250040,Crab cake,0,0.01764,0,0,1.95237,31.53654,0,105.84,0.9639
27250060,Gefilte fish,0.03196,0.01088,0,0,2.18484,0.20264,0.00748,76.84,0.48212
27250060,Gefilte fish,0.05335,0.01816,0,0,3.64676,0.33823,0.01249,128.255,0.80472
27250060,Gefilte fish,0.01927,0.00656,0,0,1.31733,0.12218,0.00451,46.33,0.29069
27250520,Imitation crabmeat,0,0,0,0,2.22201,0,0,71.82,0.0567
27250610,Tuna noodle casserole,1.82784,0,0,0.32704,2.24224,108.33984,2.36658,423.36,4.2112
27311410,"Beef stew, potatoes & vegetables",0.24444,0.80492,0,0,1.78416,0,0,199.08,1.386
27313150,"Stir-fried beef, veggies & noodles",1.27813,0.51429,0,0,1.19567,2.90997,0,223.51,1.3237
27313220,"Beef, veggies & noodles (tomato sauce)",1.08813,0.55527,0,0,2.10903,2.57715,0,231.57,1.4691
27315250,Stuffed cabbage rolls (beef & rice),0.16171,0.54899,0,0,0.89301,25.44615,4.3863,117.42,1.9673
27320070,"Pork, veggies and noodles (tomato sauce)",1.20516,0.56025,0,0.41832,2.50743,120.3417,1.53795,408.36,7.1961
27320320,"Stir-fried pork, vegetables & rice",0.78337,0.43834,0,0,2.52588,18.14337,0,245.21,2.7125
27320500,Sweet & sour pork on rice,1.1468,0.21716,0.21228,0,1.16632,2.59128,23.39926,268.4,1.6104
27343480,"Chicken, veggies & noodles (cream sauce)",1.12224,0.53536,0,0.07616,1.34624,43.00128,0,250.88,2.3744
27343910,Chicken chow mein with noodles,0.9592,0.836,0,0,1.5576,56.628,7.43783,275,2.398
